agency,sub_agency,calendar_year,amount,sub_type_name,rev_type,sub_type
CTBTO,CTBTO,2022,5202,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,13062,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,958807,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,10528,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,493640,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,47682,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1547491,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,2639,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,10596,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,2577,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,6386,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,9021,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,151504,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,273088,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,382481,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,3866,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1316,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1329,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,57790,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,202867,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,475445,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,3267769,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1316,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,38277,Assessed contributions,Assessed contributions,R01
